Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1.61972E+15,-9.699162,1.154411,2.066941,0.176358,0.044465,0.019028,43.894798,-7.479575,10.831857,4.63583E+18,0.776205,0.019449,0.628729,0.042745,-9.637412,0.134281,-1.007254,0.064139,-0.044282,0.359982,38.611731,-15.198883,20.288704,4.63583E+18,0.633838,-0.207342,0.725701,0.169165,-10.257657,2.134251,0.259296,0.236279,0.292707,-0.057026,42.432735,14.424617,5.977592,4.63583E+18,0.503808,0.533689,0.514229,-0.44376
1.61972E+15,-9.669131,0.970888,1.815801,0.170063,0.059361,0.000645,43.968464,-7.470931,10.922157,4.63583E+18,0.776031,0.019879,0.628967,0.042216,-9.545809,0.195795,-1.056178,0.071036,-0.034147,0.361564,38.575394,-15.449754,20.337915,4.63583E+18,0.633656,-0.206179,0.726044,0.169794,-10.082934,2.061813,-0.180216,0.075447,0.294086,-0.074812,42.40852,14.425304,6.038818,4.63583E+18,0.502824,0.534198,0.514851,-0.443541
1.61972E+15,-9.609394,0.811326,1.688958,0.169836,0.016548,-0.004121,43.900425,-7.553347,11.114006,4.63583E+18,0.775969,0.020303,0.629066,0.04167,-9.472761,0.287105,-1.086459,0.074256,-0.028294,0.362648,38.624593,-15.699366,20.343315,4.63583E+18,0.633458,-0.205006,0.726405,0.170412,-9.813869,1.275189,-0.550217,-0.010113,0.299107,-0.089406,42.359493,14.502591,6.132447,4.63583E+18,0.501992,0.534505,0.515674,-0.443158
1.61972E+15,-9.501263,0.65263,1.637527,0.178077,-0.020073,-0.016635,43.980237,-7.709442,11.132718,4.63583E+18,0.776004,0.020729,0.629049,0.041058,-9.417785,0.341989,-1.129503,0.076369,-0.02509,0.363162,38.62386,-15.698085,20.343955,4.63583E+18,0.63325,-0.203828,0.726774,0.171022,-9.565987,0.694759,-0.928826,-0.028487,0.30729,-0.092567,42.278082,14.477787,6.172909,4.63583E+18,0.501176,0.534781,0.516554,-0.442723
1.61972E+15,-9.367848,0.505707,1.612244,0.197955,-0.034756,-0.019151,43.983273,-7.879912,10.956545,4.63583E+18,0.776075,0.021215,0.628988,0.040386,-9.424392,0.335473,-1.227259,0.079605,-0.02619,0.362102,38.495446,-15.699366,20.337165,4.63582E+18,0.633049,-0.202642,0.72714,0.17162,-9.40749,0.569711,-1.405185,-0.017402,0.314052,-0.083997,42.257994,14.445396,6.299496,4.63583E+18,0.500334,0.535111,0.517409,-0.442278
1.61972E+15,-9.25714,0.45342,1.599606,0.223394,-0.072327,-0.015107,43.900878,-7.885983,10.855873,4.63583E+18,0.776242,0.021801,0.628809,0.039658,-9.497632,0.34208,-1.294076,0.088158,-0.03422,0.361564,38.385952,-15.950198,20.294853,4.63582E+18,0.632878,-0.201428,0.727488,0.172199,-9.256868,0.475708,-1.860705,0.008267,0.312597,-0.077252,42.204841,14.604758,6.490777,4.63583E+18,0.49945,0.535505,0.518198,-0.441877
1.61972E+15,-9.170776,0.357462,1.587393,0.24492,-0.107707,-0.006711,44.050917,-7.568017,10.746393,4.63583E+18,0.776497,0.022485,0.628517,0.038897,-9.558576,0.45221,-1.343082,0.091315,-0.040597,0.360496,38.392551,-16.156811,20.350098,4.63582E+18,0.63273,-0.200203,0.72782,0.172771,-9.163537,0.378245,-2.091873,0.050324,0.307972,-0.065831,42.176579,14.840718,6.612559,4.63583E+18,0.498501,0.536003,0.518874,-0.441552
1.61972E+15,-9.144206,0.224471,1.610516,0.272466,-0.163566,-0.002287,44.209615,-7.320848,10.718962,4.63583E+18,0.776894,0.023279,0.628048,0.038074,-9.607402,0.574099,-1.410175,0.091876,-0.048651,0.357814,38.428905,-16.113157,20.349389,4.63582E+18,0.632607,-0.198978,0.728127,0.173341,-9.09434,0.329512,-2.08729,0.094097,0.305844,-0.059455,42.233752,14.917447,6.771508,4.63583E+18,0.497469,0.5366,0.51945,-0.441313
1.61972E+15,-9.072693,0.184407,1.799782,0.306417,-0.226353,0.006106,44.144564,-7.54774,10.824078,4.63583E+18,0.777449,0.024216,0.627378,0.037184,-9.656229,0.6779,-1.42818,0.099913,-0.060922,0.355693,38.348996,-16.034467,20.251736,4.63582E+18,0.632529,-0.197728,0.728404,0.173891,-9.070101,0.301058,-1.973213,0.122175,0.303346,-0.057319,42.213028,14.860277,6.836146,4.63583E+18,0.496382,0.537255,0.519965,-0.441134
